Transaction ID,Date,Receiver,Amount (USD),Transaction Type,Account Balance (USD)
TXN1038,2025-03-25,Airbnb,103.3,Debit,17720.23
TXN0001,2024-02-10,Nike Store,385.26,Debit,5354.97
TXN0002,2024-01-08,Apple Store,72.91,Debit,7896.95
TXN0003,2024-01-02,Airline Tickets,242.89,Credit,9923.93
TXN0004,2024-02-17,Equity Investments,279.4,Credit,17965.29
TXN0005,2024-01-18,Electronic Gadgets,139.88,Credit,19503.34
TXN0006,2024-01-16,Gym Membership,437.49,Debit,9186.87
TXN0007,2024-01-15,Equity Investments,217.34,Credit,14622.23
TXN0008,2024-01-09,Tesla Supercharger,113.78,Debit,10995.18
TXN0009,2024-02-17,Airbnb,274.26,Credit,19717.25
TXN0010,2024-01-07,Nike Store,367.67,Credit,13043.24
TXN0011,2024-02-13,Electronic Gadgets,108.56,Debit,19088.56
TXN0012,2024-02-17,Gym Membership,162.74,Credit,6730.13
TXN0013,2024-02-27,Spotify,497.62,Credit,19556.01
TXN0014,2024-02-04,Netflix,328.44,Credit,7678.52
TXN0015,2024-01-06,Gym Membership,224.67,Debit,19438.01
TXN0016,2024-02-07,Netflix,263.61,Debit,8982.0
TXN0017,2024-01-28,Spotify,69.29,Credit,6626.04
TXN0018,2024-01-03,Airbnb,120.1,Debit,11518.46
TXN0019,2024-01-02,Nike Store,175.66,Debit,15928.18
TXN0020,2024-01-06,Apple Store,298.27,Debit,9705.16
TXN0021,2024-01-14,Mutual Funds,122.76,Credit,14093.13
TXN0022,2024-01-15,Hotel Booking,117.91,Debit,12671.35
TXN0023,2024-02-02,Spotify,44.79,Credit,10777.93
TXN0024,2024-02-08,Mutual Funds,319.24,Debit,13648.82
TXN0025,2024-01-02,Costco,122.18,Debit,8820.84
TXN0026,2024-02-05,Airbnb,453.66,Credit,15631.78
TXN0027,2024-01-13,Tesla Supercharger,431.22,Credit,5025.37
TXN0028,2024-02-15,Uber,44.72,Debit,18883.63
